#Ind Leff  D90 e90  D90x150 e90x150 D90x220 e90x220 D150 e150 D150x220 e150x220 D220 e220
  0  2076.9 218.42  3.84 213.30  2.88 207.20  3.99 215.64  2.28 225.89  2.85 286.20  6.55 
  1  2331.6 128.19  1.90 123.55  1.40 121.58  2.23 125.91  1.12 140.69  1.63 201.72  4.33 
  2  2636.5  81.88  1.13  76.72  0.82  77.71  1.60  80.29  0.67  98.80  1.19 170.38  4.08 
  3  2939.8  52.84  0.79  47.73  0.54  50.03  1.38  51.88  0.46  73.03  1.00 156.93  4.00 
  4  3293.3  36.87  0.58  32.01  0.36  34.22  1.18  36.89  0.31  61.78  0.80 155.41  3.73 
  5  3696.1  31.35  0.57  24.38  0.34  26.62  1.38  31.19  0.29  63.77  0.87 182.84  4.44 
  6  4148.5  28.85  0.65  22.47  0.35  28.30  1.48  31.24  0.29  70.62  0.89 202.04  4.81 
  7  4651.4  30.25  0.89  22.46  0.46  31.95  1.97  33.62  0.35  82.45  1.10 245.72  6.03 
  8  5203.3  35.32  1.15  25.00  0.58  35.05  2.58  39.73  0.42  97.08  1.28 290.22  6.97 
  9  5855.2  43.36  1.85  28.88  0.79  47.06  3.23  46.34  0.53 116.57  1.57 349.81  8.70 
 10  6606.5  44.64  3.16  34.90  1.21  55.80  5.18  57.24  0.72 149.76  2.12 434.85 10.91 
 11  7407.8  46.65  6.68  39.20  2.03  60.45  8.75  69.46  1.17 179.08  3.06 523.74 15.39 
 12  8309.5  61.26 12.04  45.77  3.30  74.69 13.43  88.99  1.76 224.01  4.33 664.56 21.37 
 13  9309.3  1e15  1e15   74.78  6.47  86.56 29.15  98.70  2.91 276.06  7.16 729.12 33.76 
 14 10410.8  1e15  1e15   83.21 13.90 202.62 61.53 122.03  4.49 351.10 10.79 962.20 48.74 
